AUC,Sensitivity,specificity,PPV,NPV,F1_Score_pos,F1_Score_neg,Accuracy,KAPPA,Model
0.926578489,0.82629108,0.851785714,0.67953668,0.928015564,0.745762712,0.888268156,0.844760673,0.635552133,RF
0.889440609,0.787037037,0.813285458,0.620437956,0.907815631,0.693877551,0.857954545,0.805950841,0.554726922,RF
0.868676225,0.779279279,0.796733212,0.607017544,0.899590164,0.682445759,0.845043311,0.791720569,0.531022606,RF
0.914530125,0.836206897,0.800369686,0.642384106,0.919320594,0.72659176,0.855731225,0.811125485,0.586076126,RF
0.861655048,0.736842105,0.809174312,0.617647059,0.880239521,0.672,0.843212237,0.787839586,0.517000168,RF
0.913757731,0.809302326,0.844086022,0.666666667,0.919921875,0.731092437,0.880373832,0.834411384,0.613073777,RF
0.89426058,0.774774775,0.820326679,0.634686347,0.900398406,0.697768763,0.858499525,0.807244502,0.558311123,RF
0.885985931,0.782407407,0.802513465,0.605734767,0.9048583,0.682828283,0.850618459,0.796895213,0.536979173,RF
0.88320367,0.783919598,0.81358885,0.593155894,0.915686275,0.675324675,0.861623616,0.805950841,0.540704768,RF
0.876352903,0.782407407,0.800718133,0.603571429,0.904665314,0.681451613,0.84952381,0.795601552,0.534635433,RF
0.893848081,0.771028037,0.828264758,0.632183908,0.904296875,0.694736842,0.864612512,0.812419146,0.561254487,RF
0.838383144,0.72,0.810218978,0.609022556,0.875739645,0.6598778,0.841706161,0.783958603,0.503196161,RF
0.855953738,0.753488372,0.804659498,0.597785978,0.894422311,0.666666667,0.847169811,0.790426908,0.516778057,RF
0.890500392,0.797235023,0.81294964,0.624548736,0.911290323,0.700404858,0.859315589,0.808538163,0.562749385,RF
0.90044724,0.816964286,0.817850638,0.64664311,0.916326531,0.721893491,0.864292589,0.81759379,0.588902677,RF
0.876179519,0.796208531,0.806049822,0.606498195,0.913306452,0.68852459,0.856332703,0.803363519,0.548665156,RF
0.884335894,0.766666667,0.81705151,0.609848485,0.903732809,0.679324895,0.858208955,0.803363519,0.540172666,RF
0.907179708,0.818181818,0.803191489,0.606382979,0.922606925,0.696537678,0.858767773,0.807244502,0.559833682,RF
0.921250907,0.8,0.847670251,0.6692607,0.916666667,0.728813559,0.880819367,0.834411384,0.610986609,RF
0.886799519,0.804761905,0.790408526,0.588850174,0.91563786,0.680080483,0.848427073,0.794307891,0.533809233,RF
0.886203238,0.773755656,0.824275362,0.638059701,0.900990099,0.699386503,0.860927152,0.809831824,0.56218478,RF
0.903667525,0.84057971,0.807420495,0.614840989,0.932653061,0.710204082,0.865530303,0.816300129,0.58041803,RF
0.873324865,0.774647887,0.798214286,0.59352518,0.903030303,0.67209776,0.847393365,0.791720569,0.523378588,RF
0.895604144,0.787610619,0.844606947,0.676806084,0.905882353,0.72801636,0.874172185,0.827943079,0.603239413,RF
0.920901549,0.877272727,0.813743219,0.652027027,0.943396226,0.748062016,0.873786408,0.831824062,0.625913903,RF
0.908578069,0.785365854,0.823943662,0.616858238,0.9140625,0.690987124,0.866666667,0.813712807,0.560393037,RF
0.90164942,0.803030303,0.833043478,0.623529412,0.924710425,0.701986755,0.876486734,0.825355757,0.581221482,RF
0.895791217,0.793991416,0.838888889,0.680147059,0.904191617,0.732673267,0.870317003,0.825355757,0.604135608,RF
0.893236211,0.816037736,0.825311943,0.638376384,0.922310757,0.716356108,0.871119473,0.822768435,0.590253622,RF
0.90660676,0.822916667,0.839931153,0.629482072,0.9348659,0.713318284,0.884859474,0.835705045,0.601020097,RF
0.897918799,0.797979798,0.83826087,0.629482072,0.923371648,0.703786192,0.878760255,0.827943079,0.584913659,RF
0.86787829,0.798122066,0.783928571,0.58419244,0.910788382,0.674603175,0.842610365,0.787839586,0.522742503,RF
0.902580213,0.808888889,0.835766423,0.669117647,0.914171657,0.732394366,0.873212583,0.827943079,0.607270963,RF
0.885291886,0.792929293,0.815652174,0.596958175,0.919607843,0.681127983,0.864516129,0.809831824,0.549449852,RF
0.875379982,0.753488372,0.810035842,0.604477612,0.895049505,0.670807453,0.85042333,0.794307891,0.523835905,RF
0.850472379,0.765217391,0.784530387,0.600682594,0.8875,0.673040153,0.832844575,0.778783959,0.509523226,RF
0.894342799,0.780701754,0.814678899,0.637992832,0.898785425,0.702169625,0.85466795,0.80465718,0.559014988,RF
