"","AUC","Sensitivity","specificity","PPV","NPV","F1_Score_pos","F1_Score_neg","Accuracy","KAPPA","Model"
"510",0.883773285065914,0.762114537444934,0.813186813186813,0.629090909090909,0.891566265060241,0.689243027888446,0.850574712643678,0.798188874514877,0.541831942734692,"RF25"
"511",0.882587259022722,0.805555555555556,0.795332136445242,0.604166666666667,0.91340206185567,0.69047619047619,0.850287907869482,0.798188874514877,0.545252964069146,"RF25"
"512",0.895400033006208,0.831896551724138,0.796672828096118,0.636963696369637,0.917021276595745,0.721495327102804,0.852621167161226,0.807244501940492,0.578049039613427,"RF25"
"513",0.881550633031926,0.779816513761468,0.812612612612613,0.62043795620438,0.903807615230461,0.691056910569106,0.855787476280835,0.803363518758085,0.549568337601399,"RF25"
"514",0.889889263271563,0.787610619469027,0.817184643510055,0.640287769784173,0.903030303030303,0.706349206349206,0.857965451055662,0.808538163001294,0.566546435499515,"RF25"
"515",0.873063660067889,0.780701754385965,0.814678899082569,0.637992831541219,0.898785425101215,0.702169625246548,0.854667949951877,0.804657179818887,0.559014987513554,"RF25"
"516",0.882332210175554,0.769607843137255,0.806678383128295,0.588014981273408,0.907114624505929,0.666666666666667,0.853953488372093,0.796895213454075,0.524348708783564,"RF25"
"517",0.909720766790045,0.816901408450704,0.808928571428571,0.619217081850534,0.920731707317073,0.704453441295547,0.861216730038023,0.811125485122898,0.569500602694579,"RF25"
"518",0.862439532906783,0.761904761904762,0.793357933579336,0.611111111111111,0.88659793814433,0.678227360308285,0.837390457643622,0.783958602846054,0.518552498592106,"RF25"
"519",0.875568245039615,0.776190476190476,0.809946714031972,0.603703703703704,0.906560636182903,0.679166666666667,0.855534709193246,0.800776196636481,0.537952181338301,"RF25"
"520",0.913086924863067,0.825688073394495,0.821621621621622,0.645161290322581,0.923076923076923,0.724346076458753,0.869399428026692,0.822768434670116,0.596624475788175,"RF25"
"521",0.853500371033562,0.73568281938326,0.80952380952381,0.616236162361624,0.880478087649402,0.670682730923695,0.843511450381679,0.78783958602846,0.515989615149664,"RF25"
"522",0.91048272968319,0.833333333333333,0.827586206896552,0.660714285714286,0.924949290060852,0.737051792828685,0.873563218390805,0.829236739974127,0.613098443081076,"RF25"
"523",0.889718799835541,0.773913043478261,0.81767955801105,0.642599277978339,0.895161290322581,0.702169625246548,0.854667949951877,0.804657179818887,0.558688197329966,"RF25"
"524",0.888180565875199,0.8,0.801094890510949,0.622837370242215,0.90702479338843,0.700389105058366,0.85077519379845,0.800776196636481,0.554603549941633,"RF25"
"525",0.868465892716394,0.782407407407407,0.807899461400359,0.61231884057971,0.905432595573441,0.686991869918699,0.853889943074004,0.800776196636481,0.544047126595272,"RF25"
